Step,Training Loss,rewards / chosen,rewards / rejected,rewards / accuracies,rewards / margins,logps / rejected,logps / chosen,logits / rejected,logits / chosen
131,1.5089,-0.119713,-0.106146,0.5,-0.013566,-1.061465,-1.197128,9.696375,9.405587
132,1.5049,-0.12328,-0.091665,0.375,-0.031615,-0.916653,-1.232805,9.898706,9.062014
133,1.197,-0.099121,-0.109553,0.75,0.010432,-1.095529,-0.991212,9.65448,9.052593
134,1.6614,-0.144176,-0.106442,0.25,-0.037734,-1.064423,-1.441759,9.723313,9.36929
135,1.4571,-0.119836,-0.10963,0.5,-0.010206,-1.096299,-1.198362,9.823258,9.026791
136,1.6085,-0.140172,-0.129414,0.375,-0.010758,-1.294136,-1.40172,9.757821,8.946692
137,1.4449,-0.123271,-0.082029,0.25,-0.041242,-0.820288,-1.232712,9.788249,9.181078
138,1.1842,-0.108099,-0.104331,0.375,-0.003767,-1.043314,-1.080985,9.798276,9.314809
139,1.6867,-0.150481,-0.102245,0.125,-0.048236,-1.022447,-1.504805,9.80853,9.390075
140,1.4715,-0.134361,-0.098467,0.375,-0.035895,-0.984666,-1.343612,9.879841,9.147845
141,1.3545,-0.123434,-0.101532,0.375,-0.021902,-1.015323,-1.234342,9.614982,9.425784
142,1.7358,-0.137693,-0.130842,0.375,-0.006851,-1.308425,-1.376932,9.726807,9.451315
143,1.7029,-0.148538,-0.121602,0.375,-0.026936,-1.216021,-1.485379,9.748133,9.150793
144,1.2939,-0.107031,-0.106246,0.5,-0.000785,-1.062461,-1.07031,9.448537,9.178282
145,1.4691,-0.117737,-0.097299,0.375,-0.020438,-0.97299,-1.177371,9.872922,9.040377
146,1.3783,-0.124,-0.105144,0.5,-0.018856,-1.051444,-1.240003,9.590952,9.089799
147,1.2278,-0.097318,-0.119017,0.75,0.021699,-1.190171,-0.973181,9.500703,8.759712
148,1.6442,-0.13635,-0.089242,0.25,-0.047108,-0.892416,-1.363501,9.915871,9.232935
149,1.5661,-0.145311,-0.116428,0.375,-0.028882,-1.164283,-1.453107,9.759174,9.142748
150,1.7847,-0.150861,-0.098327,0.25,-0.052533,-0.983272,-1.508607,9.755835,9.224888
151,1.2812,-0.104777,-0.114581,0.625,0.009804,-1.145805,-1.047769,9.60655,9.084487
152,1.616,-0.144247,-0.107472,0.25,-0.036774,-1.074724,-1.442467,9.858366,9.182655
153,1.2424,-0.126021,-0.127138,0.5,0.001117,-1.271376,-1.26021,9.633874,9.17208
154,1.3376,-0.12467,-0.115353,0.375,-0.009317,-1.153531,-1.246705,9.847828,9.356794
